CL#;TIPO DE CAJA;WEEK;CONTAINERS
ME005;208;2;6
ME008;208;2;6
ME010;22XU;2;3
ME005;208;3;6
ME008;208;3;6
ME010;22XU;3;3
ME005;208;4;5
ME006;22XU;4;2
ME008;208;4;6
ME010;22XU;4;2
ME012;22XU;4;2
ME005;208;5;4
ME006;22XU;5;2
ME008;208;5;6
ME010;22XU;5;2
ME012;22XU;5;2
ME005;208;6;4
ME006;22XU;6;2
ME008;208;6;6
ME010;22XU;6;3
ME012;22XU;6;2
ME013;22XU;6;9
ME006;22XU;7;2
ME008;208;7;10
ME010;22XU;7;3
ME012;22XU;7;2
ME013;22XU;7;10
ME002;22XU;8;1
ME004;22XU;8;1
ME005;208;8;2
ME006;22XU;8;3
ME008;208;8;12
ME010;22XU;8;3
ME012;22XU;8;2
ME002;22XU;9;1
ME004;22XU;9;1
ME005;208;9;2
ME006;22XU;9;3
ME008;208;9;12
ME010;22XU;9;3
ME012;22XU;9;2
ME002;22XU;10;1
ME004;22XU;10;1
ME005;208;10;2
ME006;22XU;10;3
ME008;208;10;12
ME010;22XU;10;3
ME012;22XU;10;2
ME005;208;11;2
ME006;22XU;11;4
ME008;208;11;12
ME010;22XU;11;3
ME012;22XU;11;3
ME005;208;12;2
ME006;22XU;12;3
ME008;208;12;12
ME010;22XU;12;3
ME012;22XU;12;3
ME005;208;13;2
ME006;22XU;13;2
ME008;208;13;12
ME010;22XU;13;5
ME012;22XU;13;2
ME014;208;13;5
ME014;22XU;13;10
ME005;208;14;2
ME006;22XU;14;2
ME008;208;14;12
ME010;22XU;14;5
ME012;22XU;14;2
ME005;208;15;2
ME006;22XU;15;2
ME008;208;15;12
ME010;22XU;15;5
ME012;22XU;15;2
ME014;208;15;5
ME014;22XU;15;15
ME005;208;16;2
ME006;22XU;16;2
ME008;208;16;11
ME010;22XU;16;5
ME012;22XU;16;2
ME014;208;16;5
ME014;22XU;16;15
ME005;208;17;5
ME008;208;17;11
ME011;208;17;4
ME014;208;17;5
ME014;22XU;17;14
ME005;208;18;5
ME006;22XU;18;2
ME008;208;18;12
ME011;208;18;4
ME001;208;19;7
ME001;22XU;19;1
ME005;208;19;7
ME006;22XU;19;4
ME011;208;19;1
ME012;22XU;19;3
ME001;208;20;7
ME001;22XU;20;1
ME005;208;20;7
ME006;22XU;20;3
ME012;22XU;20;4
ME001;208;21;7
ME001;22XU;21;1
ME005;208;21;6
ME006;22XU;21;4
ME012;22XU;21;4
ME014;208;21;5
ME014;22XU;21;15
ME001;208;22;7
ME001;22XU;22;1
ME005;208;22;7
ME006;22XU;22;4
ME012;22XU;22;4
ME001;208;23;7
ME001;22XU;23;1
ME005;208;23;7
ME006;22XU;23;4
ME012;22XU;23;4
ME014;22XU;23;10
ME001;208;24;7
ME001;22XU;24;1
ME005;208;24;7
ME006;22XU;24;4
ME012;22XU;24;4
ME014;22XU;24;5
ME001;208;25;7
ME001;22XU;25;1
ME005;208;25;7
ME006;22XU;25;4
ME012;22XU;25;4
ME014;22XU;25;15
ME006;22XU;26;4
ME008;208;26;14
ME008;22XU;26;1
ME012;22XU;26;4
ME014;22XU;26;15
ME006;22XU;27;3
ME008;208;27;14
ME008;22XU;27;1
ME012;22XU;27;4
ME014;22XU;27;15
ME001;208;28;7
ME001;22XU;28;1
ME005;208;28;7
ME006;22XU;28;3
ME008;208;28;2
ME012;22XU;28;2
ME014;22XU;28;15
ME001;208;29;7
ME001;22XU;29;1
ME005;208;29;7
ME006;22XU;29;3
ME008;208;29;2
ME012;22XU;29;3
ME001;208;30;6
ME001;22XU;30;1
ME005;208;30;7
ME011;208;30;2
ME014;22XU;30;15
ME001;208;31;7
ME001;22XU;31;1
ME005;208;31;7
ME006;22XU;31;2
ME008;208;31;4
ME011;208;31;2
ME014;22XU;31;5
ME001;208;32;9
ME005;208;32;7
ME010;22XU;32;7
ME014;22XU;32;5
ME001;208;33;9
ME005;208;33;7
ME010;22XU;33;7
ME014;22XU;33;15
ME001;208;34;9
ME005;208;34;7
ME010;22XU;34;7
ME014;22XU;34;10
ME001;208;35;9
ME005;208;35;7
ME010;22XU;35;7
ME001;208;36;9
ME005;208;36;7
ME010;22XU;36;7
ME001;208;37;9
ME005;208;37;7
ME010;22XU;37;7
ME014;22XU;37;5
ME001;208;38;3
ME005;208;38;5
ME010;22XU;38;6
ME014;208;38;6
